timestamp,ax,ay,az,gx,gy,gz
2026-03-12 01:20:50.940496,-8.296,-3.63,-3.247,-0.0482,-0.0057,-0.0091
2026-03-12 01:20:51.628419,-8.274,-3.706,-3.237,-0.052,-0.0123,-0.0136
2026-03-12 01:20:52.147872,-8.255,-3.615,-3.304,-0.047,0.0051,-0.0157
2026-03-12 01:20:52.635113,-8.258,-3.63,-3.263,-0.0486,0.0056,-0.016
2026-03-12 01:20:53.014309,-8.32,-3.608,-3.237,-0.0462,0.0113,-0.0184
2026-03-12 01:20:53.719539,-8.351,-3.639,-3.232,-0.0505,0.0036,-0.0136
2026-03-12 01:20:54.022295,-8.289,-3.675,-3.244,-0.0502,0.0011,-0.0209
2026-03-12 01:20:54.363012,-8.313,-3.634,-3.16,-0.0521,0.0064,-0.0171
2026-03-12 01:20:54.626244,-8.744,-3.852,-2.32,-0.5065,-0.6273,0.3869
2026-03-12 01:20:54.858192,-5.14,-2.962,-5.306,-0.7651,2.1204,-0.6706
2026-03-12 01:20:55.150593,-4.446,-5.241,-11.037,0.3721,1.3318,-1.1378
2026-03-12 01:20:55.402040,1.532,-2.988,-10.192,-1.0044,1.3759,-0.2818
2026-03-12 01:20:55.841317,8.167,-0.369,-4.456,-0.6833,2.836,0.6133
2026-03-12 01:20:56.212817,9.419,-2.064,-1.946,0.318,0.9894,0.0502
2026-03-12 01:20:56.581786,8.825,-4.997,0.622,0.401,1.2854,0.5998
2026-03-12 01:20:56.906640,5.495,-5.447,2.263,-0.905,0.2819,0.9401
2026-03-12 01:20:57.460652,3.196,-9.242,3.56,-0.3756,-0.4471,-0.1275
2026-03-12 01:20:57.813256,6.029,-5.49,-4.305,-1.5593,-2.5002,-1.861
2026-03-12 01:20:58.395384,-6.507,-3.026,-12.821,0.5117,-1.9718,0.738
2026-03-12 01:20:58.823205,-2.356,-1.618,-8.581,-0.0946,2.2651,-1.4825
2026-03-12 01:20:59.466205,-3.357,-1.379,-6.428,-0.146,-3.0792,-0.2686
2026-03-12 01:20:59.713083,-7.276,-1.286,-9.21,0.4535,-1.2276,0.4279
2026-03-12 01:21:00.353022,4.829,0.618,-2.349,1.0792,0.445,0.2495
2026-03-12 01:21:00.655519,-2.296,-3.179,-3.563,1.1583,0.7256,-0.1707
2026-03-12 01:21:00.939348,-4.022,0.067,0.869,-4.3657,4.3656,1.4549
2026-03-12 01:21:01.368944,2.437,3.182,19.613,-0.2486,4.3656,4.3656
2026-03-12 01:21:01.854380,-12.586,-7.489,-19.613,-4.3657,-4.3657,-4.3657
2026-03-12 01:21:02.130606,-2.502,3.062,-2.037,-0.2096,4.3656,1.0936
2026-03-12 01:21:02.561214,-7.98,-4.334,-6.472,0.0604,-0.4827,0.8861
2026-03-12 01:21:02.774436,-2.351,-4.348,-2.811,0.1438,3.7318,0.7277
2026-03-12 01:21:03.208499,-6.62,-2.907,-4.513,0.3395,0.6137,1.2393
2026-03-12 01:21:03.448866,-8.978,-1.985,-8.595,0.6751,0.022,0.3463
2026-03-12 01:21:03.718968,-5.789,-2.804,-14.013,0.0677,4.0052,-1.0208
2026-03-12 01:21:04.138414,1.829,-1.621,-5.713,0.5393,-0.985,-1.0245
2026-03-12 01:21:04.522926,6.555,2.966,-7.235,-0.6311,0.6912,-0.1652
2026-03-12 01:21:04.824593,-6.306,-5.392,-11.878,0.5201,-2.7853,0.3556
2026-03-12 01:21:05.008613,-6.711,-0.256,-4.573,-0.1005,-0.7486,-0.5429
2026-03-12 01:21:05.572446,-7.518,-1.731,-5.77,0.559,-0.338,-0.1675
2026-03-12 01:21:05.766439,-7.393,-1.745,-5.938,0.1468,-0.1282,-0.0879
