timestamp,ax,ay,az,gx,gy,gz
2026-03-13 14:32:33.071332,10.24,-0.115,-1.487,-0.0867,-0.0806,0.0831
2026-03-13 14:32:33.299715,9.704,0.086,-1.755,-0.0244,-0.0496,-0.0857
2026-03-13 14:32:33.469616,10.039,-0.541,-2.114,-0.1482,-0.0365,-0.0076
2026-03-13 14:32:33.705020,10.01,-0.235,-1.678,-0.0273,0.0188,-0.0167
2026-03-13 14:32:34.026507,9.962,-0.256,-1.451,-0.1005,0.0346,-0.0887
2026-03-13 14:32:34.217681,9.811,-0.22,-1.477,-0.0605,-0.0017,0.0959
2026-03-13 14:32:34.462194,10.606,-0.172,-2.076,-0.0254,-0.0348,-0.0075
2026-03-13 14:32:34.867381,9.768,-0.306,-1.693,-0.0818,0.0309,-0.0199
2026-03-13 14:32:35.178769,9.831,-0.584,-1.358,-0.0739,0.0381,0.0184
2026-03-13 14:32:35.392525,9.766,-0.366,-1.623,-0.0552,-0.0546,-0.0104
2026-03-13 14:32:35.666655,0.383,-0.148,0.232,-0.8244,0.7604,-0.6207
2026-03-13 14:32:35.908727,0.737,-0.074,0.081,-0.7382,1.2259,-0.495
2026-03-13 14:32:36.108992,1.465,-0.17,0.393,-0.6864,1.746,0.0452
2026-03-13 14:32:36.363579,3.955,0.45,4.257,-0.3776,3.3231,-0.9677
2026-03-13 14:32:36.607017,3.179,0.151,8.581,0.7958,-0.2341,-0.7079
2026-03-13 14:32:36.835474,5.816,0.271,8.152,-0.0336,-0.0084,-0.0224
2026-03-13 14:32:37.016697,6.191,0.864,8.04,-0.0418,0.0083,-0.0072
2026-03-13 14:32:37.327378,6.129,0.95,8.078,-0.0484,-0.0039,-0.0084
2026-03-13 14:32:37.575214,6.167,0.881,8.152,-0.047,0.0029,-0.0097
2026-03-13 14:32:37.759508,6.177,0.836,8.159,-0.0498,0.0037,-0.0061
2026-03-13 14:32:37.978265,6.132,0.893,8.059,-0.0486,0.0016,-0.0087
2026-03-13 14:32:38.198095,6.088,0.862,8.198,-0.0484,-0.0016,-0.0135
2026-03-13 14:32:38.416145,6.112,0.869,8.179,-0.0508,0.0001,-0.0101
2026-03-13 14:32:38.669305,6.146,0.848,8.092,-0.0482,0.0007,-0.0123
2026-03-13 14:32:38.863754,6.124,0.879,8.164,-0.0504,0.0043,-0.0108
2026-03-13 14:32:39.209430,6.167,0.907,8.078,-0.0502,-0.0001,-0.0084
2026-03-13 14:32:39.523315,6.105,0.85,8.167,-0.0522,0.0109,-0.0084
2026-03-13 14:32:39.813726,6.175,0.857,8.121,-0.0445,-0.0107,-0.0103
2026-03-13 14:32:40.017034,6.057,0.862,8.308,-0.051,0.0036,-0.0067
2026-03-13 14:32:40.245988,6.153,0.929,8.138,-0.0524,0.0068,-0.0121
2026-03-13 14:32:40.464317,6.206,0.917,8.169,-0.0486,-0.0047,-0.0065
2026-03-13 14:32:40.727192,6.136,0.903,8.164,-0.05,-0.0012,-0.0117
2026-03-13 14:32:40.991397,6.155,0.85,8.097,-0.0497,-0.0003,-0.014
2026-03-13 14:32:41.267119,6.11,0.895,8.193,-0.0504,0.0021,-0.0096
2026-03-13 14:32:41.414645,6.136,0.864,8.298,-0.0522,0.0005,-0.0096
