timestamp,ax,ay,az,gx,gy,gz
2026-03-13 14:36:19.790082,9.89,-0.05,-0.84,0.0292,0.0789,0.0421
2026-03-13 14:36:20.022237,10.036,-0.081,-0.244,0.0293,0.0053,-0.0007
2026-03-13 14:36:20.216760,9.663,-0.096,-0.251,-0.0496,0.0326,0.0025
2026-03-13 14:36:20.450967,10.324,-0.23,-0.634,-0.0758,-0.1303,0.0394
2026-03-13 14:36:20.659831,10.099,0.134,-0.158,-0.1379,0.0341,-0.0005
2026-03-13 14:36:20.897029,10.075,0.057,-0.18,-0.0524,0.0298,0.0637
2026-03-13 14:36:21.078229,10.089,0.232,-0.302,-0.0786,0.0189,-0.0995
2026-03-13 14:36:21.388010,10.144,-0.194,0.072,-0.0636,0.0822,-0.0833
2026-03-13 14:36:24.825671,1.092,-0.026,0.445,-0.1192,1.5158,-0.5757
2026-03-13 14:36:25.057685,19.613,19.613,19.613,-4.3657,-4.0829,4.3656
2026-03-13 14:36:25.244891,4.152,-0.802,0.019,-0.8664,-1.6799,-0.6178
2026-03-13 14:36:25.459580,9.692,1.796,3.302,-0.2216,-0.3617,-0.2494
2026-03-13 14:36:25.660262,9.924,0.601,3.333,-0.0753,0.006,0.0071
2026-03-13 14:36:25.890400,9.294,0.493,3.874,-0.0486,-0.0083,-0.0079
2026-03-13 14:36:26.097376,9.366,0.333,3.857,-0.0504,-0.0009,-0.0127
2026-03-13 14:36:26.307153,9.4,0.393,3.895,-0.0518,0.0037,-0.0056
2026-03-13 14:36:26.524435,9.383,0.393,3.749,-0.0469,-0.0019,-0.0088
2026-03-13 14:36:26.744004,9.416,0.373,3.85,-0.0502,0.002,-0.0107
2026-03-13 14:36:26.970834,9.409,0.393,3.812,-0.048,0.0036,-0.0135
2026-03-13 14:36:27.177459,9.397,0.443,3.905,-0.0462,0.0005,-0.0103
2026-03-13 14:36:27.524704,9.431,0.395,3.826,-0.0504,0.0001,-0.0091
2026-03-13 14:36:27.816218,9.38,0.395,3.824,-0.0497,0.0043,-0.0059
2026-03-13 14:36:28.173026,9.34,0.335,4.003,-0.048,0.0004,-0.0164
2026-03-13 14:36:28.506884,9.385,0.373,3.735,-0.049,-0.0008,-0.0071
2026-03-13 14:36:28.675608,9.445,0.335,3.788,-0.0496,0.0025,-0.0064
2026-03-13 14:36:28.891148,9.4,0.364,3.891,-0.0488,-0.0015,-0.0104
2026-03-13 14:36:29.112077,9.44,0.383,3.85,-0.0462,0.0032,-0.0109
2026-03-13 14:36:29.324816,9.412,0.366,3.783,-0.0493,0.0021,-0.0075
2026-03-13 14:36:29.539513,9.361,0.419,3.824,-0.0477,-0.0008,-0.0101
2026-03-13 14:36:29.884910,9.455,0.397,3.721,-0.0505,0.0027,-0.0115
2026-03-13 14:36:30.122301,9.412,0.393,3.895,-0.0512,-0.004,-0.0107
