ts_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,imu_temp_c,ambient_temp_c,freefall,logging,samples,battery_v,esp32_temp_c
335525,-0.0295,-0.0426,-2.9816,-0.78,-1.04,0.20,24.07,23.0625,0,0,0,3.22,88.33
335563,-0.0305,-0.0466,-2.9489,-1.20,-1.81,0.27,24.08,23.0625,0,0,0,3.22,87.78
335602,-0.0437,-0.0466,-2.9757,-1.27,-1.74,0.34,24.07,23.0625,0,0,0,3.22,88.33
335640,-0.0573,-0.0387,-2.9933,-1.41,-1.67,0.34,24.03,23.0625,0,0,0,3.22,88.33
335679,-0.0417,-0.0358,-2.9645,-1.69,-1.60,0.34,24.10,23.0625,0,0,0,3.22,87.22
335727,-0.0159,-0.0334,-2.9621,-1.27,-2.58,0.34,24.09,23.0625,0,0,0,3.22,88.33
335765,-0.0256,-0.0319,-2.9772,-1.20,-3.56,0.48,24.07,23.0625,0,0,0,3.22,88.89
335804,-0.0525,-0.0217,-2.9752,-0.71,-3.56,0.48,24.13,23.0625,0,0,0,3.22,88.33
335890,-0.0251,-0.0383,-2.9645,-0.29,-4.47,0.48,24.06,23.0625,0,0,0,3.22,87.78
336006,-0.0515,-0.0275,-2.9957,0.69,-4.05,0.48,24.11,23.0625,0,0,0,3.22,88.89
336092,-0.0773,-0.0446,-2.9660,0.62,-2.37,0.41,24.13,23.0625,0,0,0,3.22,88.33
336131,-0.0793,-0.0407,-2.9943,0.76,-0.97,0.34,24.09,23.0625,0,0,0,3.22,88.89
336207,-0.0622,-0.0378,-2.9591,0.69,1.41,0.13,24.05,23.0625,0,0,0,3.22,87.78
336294,-0.0603,-0.0256,-2.9777,1.32,3.23,0.06,24.09,23.0625,0,0,0,3.22,88.89
336371,-0.0344,-0.0378,-3.0011,1.60,3.02,0.13,24.08,23.0625,0,0,0,3.22,87.78
336409,-0.0427,-0.0446,-2.9547,1.39,2.53,0.13,24.05,23.0625,0,0,0,3.22,88.33
336496,-0.0520,-0.0353,-2.9845,1.18,2.81,-0.01,24.04,23.0625,0,0,0,3.22,88.33
336534,-0.0647,-0.0368,-2.9811,1.18,3.23,0.06,24.08,23.0625,0,0,0,3.22,88.33
336621,-0.0422,-0.0412,-3.0060,0.62,3.93,0.06,24.10,23.0625,0,0,0,3.22,88.33
336698,-0.0217,-0.0519,-2.9523,-0.22,2.53,0.06,24.03,23.0625,0,0,0,3.22,88.89
336736,-0.0222,-0.0378,-2.9928,-0.57,1.69,0.06,24.08,23.0625,0,0,0,3.22,88.33
336775,-0.0144,-0.0417,-2.9587,-0.85,0.64,0.13,24.10,23.0625,0,0,0,3.22,87.78
336823,-0.0281,-0.0397,-2.9704,-0.92,-0.76,0.20,24.09,23.0625,0,0,0,3.22,88.33
336842,-0.0193,-0.0378,-2.9684,-0.85,-1.11,0.27,24.05,23.0625,0,0,0,3.22,88.33
336851,-0.0295,-0.0353,-2.9928,-0.78,-1.39,0.34,24.06,23.0625,0,0,0,3.22,88.33
336861,-0.0344,-0.0241,-3.0035,-0.92,-1.74,0.34,24.06,23.0625,0,0,0,3.22,88.33
336871,-0.0271,-0.0348,-2.9806,-1.06,-1.95,0.34,24.09,23.0625,0,0,0,3.22,88.33
336880,-0.0276,-0.0436,-2.9606,-0.99,-2.02,0.27,24.09,23.0625,0,0,0,3.22,87.22
336890,-0.0315,-0.0456,-2.9601,-0.78,-2.09,0.27,24.04,23.0625,0,0,0,3.22,88.33
336909,-0.0373,-0.0251,-2.9835,-0.78,-2.23,0.34,24.04,23.0625,0,0,0,3.22,88.33
336948,-0.0334,-0.0441,-2.9557,-0.85,-2.79,0.27,24.03,23.0625,0,0,0,3.22,88.33
336986,-0.0432,-0.0290,-2.9977,-0.71,-2.79,0.27,24.06,23.0625,0,0,0,3.22,87.22
337063,-0.0456,-0.0324,-2.9684,-0.50,-3.07,0.34,24.06,23.0625,0,0,0,3.22,88.33
